"Table 1: Long-term international migration into and out of the United Kingdom by nationality,",,,,,,,
using new approach to producing migration estimates,,,,,,,
This worksheet contains one table.,,,,,,,
Notes and definitions are referred to in this table. The text for these can be found in the corresponding worksheets.,,,,,,,
"Some shorthand is used in this table, P = provisional, R = revised, YE = Year Ending and EU = European Union.",,,,,,,
"Flow
[note 2]","Period
[note 10]","All Nationalities
[note 1]","British
[definition 2]","EU+
[definition 3]","Non-EU+
[definition 4]",,
Immigration,YE Jun 12,"639,000","74,000","327,000","238,000",,
Immigration,YE Sep 12,"630,000","76,000","322,000","232,000",,
Immigration,YE Dec 12,"643,000","79,000","334,000","230,000",,
Immigration,YE Mar 13,"649,000","75,000","350,000","224,000",,
Immigration,YE Jun 13,"669,000","75,000","373,000","222,000",,
Immigration,YE Sep 13,"720,000","78,000","410,000","233,000",,
Immigration,YE Dec 13,"713,000","76,000","402,000","234,000",,
Immigration,YE Mar 14,"731,000","80,000","414,000","236,000",,
Immigration,YE Jun 14,"737,000","82,000","420,000","236,000",,
Immigration,YE Sep 14,"761,000","81,000","441,000","239,000",,
Immigration,YE Dec 14,"778,000","81,000","457,000","241,000",,
Immigration,YE Mar 15,"780,000","83,000","457,000","240,000",,
Immigration,YE Jun 15,"778,000","83,000","454,000","241,000",,
Immigration,YE Sep 15,"774,000","81,000","453,000","240,000",,
Immigration,YE Dec 15,"797,000","78,000","481,000","238,000",,
Immigration,YE Mar 16,"803,000","78,000","490,000","235,000",,
Immigration,YE Jun 16,"832,000","74,000","521,000","237,000",,
Immigration,YE Sep 16,"804,000","70,000","496,000","238,000",,
Immigration,YE Dec 16,"772,000","70,000","465,000","237,000",,
Immigration,YE Mar 17,"759,000","72,000","447,000","239,000",,
Immigration,YE Jun 17,"718,000","78,000","399,000","241,000",,
Immigration,YE Sep 17,"754,000","78,000","425,000","251,000",,
Immigration,YE Dec 17,"752,000","84,000","411,000","257,000",,
Immigration,YE Mar 18,"736,000","76,000","399,000","261,000",,
Immigration,YE Jun 18,"757,000","81,000","407,000","269,000",,
Immigration,YE Sep 18,"766,000","85,000","397,000","284,000",,
Immigration,YE Dec 18,"825,000","74,000","421,000","330,000",,
Immigration,YE Mar 19,"849,000","74,000","429,000","346,000",,
Immigration,YE Jun 19,"821,000","61,000","413,000","347,000",,
Immigration,YE Sep 19,"793,000","66,000","376,000","351,000",,
Immigration,YE Dec 19,"788,000","71,000","349,000","368,000",,
Immigration,YE Mar 20,"815,000","80,000","347,000","388,000",,
Immigration,YE Jun 20,"736,000","72,000","333,000","331,000",,
Immigration,YE Sep 20,"606,000","53,000","293,000","260,000",,
Immigration,YE Dec 20,"662,000","52,000","316,000","294,000",,
Immigration,YE Mar 21,"629,000","44,000","287,000","297,000",,
Immigration,YE Jun 21,"737,000","62,000","304,000","371,000",,
Immigration,YE Sep 21,"909,000","96,000","275,000","539,000",,
Immigration,YE Dec 21,"917,000","108,000","191,000","617,000",,
Immigration,YE Mar 22,"991,000","110,000","155,000","727,000",,
Immigration,YE Jun 22,"1,088,000","108,000","135,000","845,000",,
Immigration,YE Sep 22,"1,227,000","94,000","130,000","1,003,000",,
Immigration,YE Dec 22,"1,294,000","88,000","129,000","1,078,000",,
Immigration,YE Mar 23,"1,312,000","87,000","142,000","1,083,000",,
Immigration,YE Jun 23,"1,320,000","84,000","141,000","1,095,000",,
Immigration,YE Sep 23 R,"1,305,000","64,000","121,000","1,119,000",,
Immigration,YE Dec 23 R ,"1,326,000","61,000","133,000","1,132,000",,
Immigration,YE Mar 24 P R,"1,305,000","67,000","116,000","1,122,000",,
Immigration,YE Jun 24 P R,"1,231,000","58,000","116,000","1,057,000",,
Immigration,YE Sep 24 P,"1,104,000","58,000","126,000","919,000",,
Immigration,YE Dec 24 P,"948,000","60,000","122,000","766,000",,
Emigration,YE Jun 12,"477,000","156,000","140,000","181,000",,
Emigration,YE Sep 12,"473,000","156,000","139,000","178,000",,
Emigration,YE Dec 12,"448,000","151,000","128,000","169,000",,
Emigration,YE Mar 13,"446,000","154,000","127,000","164,000",,
Emigration,YE Jun 13,"454,000","157,000","131,000","166,000",,
Emigration,YE Sep 13,"461,000","158,000","135,000","169,000",,
Emigration,YE Dec 13,"469,000","157,000","141,000","171,000",,
Emigration,YE Mar 14,"475,000","154,000","151,000","170,000",,
Emigration,YE Jun 14,"489,000","157,000","161,000","171,000",,
Emigration,YE Sep 14,"497,000","160,000","171,000","166,000",,
Emigration,YE Dec 14,"494,000","161,000","180,000","154,000",,
Emigration,YE Mar 15,"484,000","156,000","182,000","146,000",,
Emigration,YE Jun 15,"482,000","154,000","187,000","141,000",,
Emigration,YE Sep 15,"481,000","153,000","191,000","137,000",,
Emigration,YE Dec 15,"494,000","151,000","193,000","150,000",,
Emigration,YE Mar 16,"506,000","155,000","196,000","155,000",,
Emigration,YE Jun 16,"511,000","157,000","199,000","155,000",,
Emigration,YE Sep 16,"514,000","157,000","202,000","155,000",,
Emigration,YE Dec 16,"523,000","163,000","213,000","147,000",,
Emigration,YE Mar 17,"519,000","163,000","213,000","143,000",,
Emigration,YE Jun 17,"518,000","157,000","212,000","149,000",,
Emigration,YE Sep 17,"549,000","163,000","233,000","152,000",,
Emigration,YE Dec 17,"544,000","164,000","235,000","144,000",,
Emigration,YE Mar 18,"543,000","165,000","240,000","139,000",,
Emigration,YE Jun 18,"541,000","165,000","249,000","127,000",,
Emigration,YE Sep 18,"539,000","152,000","259,000","129,000",,
Emigration,YE Dec 18,"549,000","147,000","250,000","152,000",,
Emigration,YE Mar 19,"575,000","146,000","274,000","155,000",,
