School_Name,latX,longY,Language,Town
Garth Cp,52.97699999,-3.10531001,English medium,TREVOR
Ysgol Cynddelw,52.93372999,-3.18116002,Dual stream,LLANGOLLEN
Llanarmon Dc School,52.88534998,-3.25554001,Welsh medium,LLANGOLLEN
Ysgol Acrefair,52.98020162,-3.0790893,English medium,WREXHAM
Cefn Mawr C P School,52.97093,-3.07322001,English medium,WREXHAM
Ysgol Maes-Y-Llan,52.98823999,-3.03645001,English medium,WREXHAM
Ysgol Min Y Ddol,52.97035,-3.07348001,Welsh medium,WREXHAM
Alexandra C P School,53.05028998,-2.98733001,English medium,WREXHAM
Brynteg C P School,53.06483998,-3.03726001,English medium,WREXHAM
Bwlchgwyn School,53.07199998,-3.09568,English medium,WREXHAM
Ysgol Tan-Y-Fron,53.06194999,-3.04946001,English medium,WREXHAM
Black Lane C P School,53.07342999,-3.04375002,English medium,WREXHAM
Rhosddu County Primary,53.05549999,-2.99740001,English medium,WREXHAM
Rhostyllen Cp School,53.03098999,-3.02527001,English medium,WREXHAM
Ysgol Deiniol C P,53.02356999,-2.95691001,English medium,WREXHAM
Barker'S Lane Cp,53.06770999,-2.97788,English medium,WREXHAM
Wat'S Dyke County Primary,53.06287999,-2.99672001,English medium,WREXHAM
Ysgol Bryn Tabor,53.05198999,-3.0677,Welsh medium,WREXHAM
Ysgol Sant Dunawd,53.00329999,-2.90582002,English medium,WREXHAM
Holt Cp School,53.07855999,-2.88367002,English medium,WREXHAM
Ysgol Bodhyfryd,53.03520998,-2.98556,Welsh medium,WREXHAM
Ysgol Penllwyn,52.40538999,-3.98317002,Welsh medium,CAPEL BANGOR
Ysgol Id Hooson,53.00755,-3.06311002,Welsh medium,WREXHAM
Ysgol Plas Coch,53.05829999,-3.00506002,Welsh medium,WREXHAM
Penygelli C P School,53.05299999,-3.06381,English medium,WREXHAM
Ysgol Penrhyn New Broughton Cp,53.05793999,-3.03197001,English medium,WREXHAM
Ysgol Heulfan,53.07305999,-3.02300001,English medium,WREXHAM
Hafod Y Wern Community Primary School,53.04707465,-2.97218491,English medium,WREXHAM
Gwenfro Community Primary,53.03941528,-2.97112864,English medium,WREXHAM
Park Community Primary School Llay,53.09702998,-2.99962001,English medium,WREXHAM
Rhosymedre Community Primary,52.97968692,-3.06273574,English medium,WREXHAM
Ysgol Maes Y Mynydd,53.01538999,-3.06001001,English medium,WREXHAM
Gwersyllt Community Primary School,53.07163998,-3.01416001,English medium,WREXHAM
Penycae Community Primary School,52.99907534,-3.06553325,English medium,WREXHAM
Acton Primary,53.06192999,-2.98525002,English medium,WREXHAM
Victoria Community Primary,53.04198999,-3.00125,English medium,WREXHAM
Ysgol Y Waun,52.93812946,-3.05410236,English medium,WREXHAM
Ysgol Bro Alun,53.07888999,-3.01753001,Welsh medium,WREXHAM
"Ysgol Yr Hafod, Johnstown",53.00816761,-3.04033752,English medium,WREXHAM
Borras Park Community Primary,53.06104101,-2.96890502,English medium,WREXHAM
St Peter'S School,53.11090998,-2.94012001,English medium,WREXHAM
Pentre Ciw Voluntary Controlled,52.95961999,-3.06079001,English medium,CHIRK
Eyton Primary School,52.99872999,-2.98858001,English medium,WREXHAM
Borderbrook School,52.99132,-2.82525001,English medium,MALPAS
St Giles Controlled Primary School,53.04233999,-2.99332,English medium,WREXHAM
Bronington Church In Wales Va,52.95059999,-2.76530002,English medium,WHITCHURCH
Madras Va School,52.95431999,-2.87630002,English medium,WREXHAM
St Chad'S Church In Wales Aided School,52.95252999,-2.81387,English medium,WHITCHURCH
St Mary'S Rc Primary,53.04423999,-2.99728,English medium,WREXHAM
Minera,53.05862999,-3.08651001,English medium,WREXHAM
All Saints Voluntary Aided Sch,53.08665999,-2.97748001,English medium,WREXHAM
St Mary'S Church In Wales,52.98681999,-3.03745001,English medium,WREXHAM
Brymbo Aided (St Mary'S),53.07931999,-3.05433002,English medium,WREXHAM
St Anne'S Catholic Primary,53.04396999,-2.97084001,English medium,WREXHAM
St Mary'S Overton,52.97159999,-2.93224001,English medium,WREXHAM
St Paul'S Voluntary Aided,53.04379999,-2.89655001,English medium,BOWLING BANK
Ysgol Gymunedol Gynradd Aberaeron,52.24108999,-4.26436001,Welsh medium,ABERAERON
Ysgol Gymunedol Ciliau Parc,52.20917998,-4.19540002,Welsh medium,CILIAU AERON
Ysgol Gymunedol Dihewyd,52.17930999,-4.21358001,Welsh medium,DIHEWYD
Ysgol Gymunedol Felinfach,52.17943998,-4.15060001,Welsh medium,FELINFACH
Ysgol Gymunedol Llanarth,52.19224999,-4.31053,Welsh medium,LLANARTH
Ysgol Gymunedol Llannon,52.28110999,-4.17542001,Welsh medium,LLANON
Ysgol Gymunedol Cei Newydd,52.21104,-4.35869,English with significant Welsh,NEW QUAY
Ysgol Gymunedol Talgarreg,52.13489999,-4.3007,Welsh medium,TALGARREG
Yr Ysgol Gymunedol Gymraeg,52.41024999,-4.07095001,Welsh medium,ABERYSTWYTH
Ysgol Gymunedol Comins Coch,52.42110998,-4.03931002,English with significant Welsh,COMINS COCH
Ysgol Gymunedol Llanfarian,52.37727999,-4.07682,Welsh medium,LLANFARIAN
Ysgol Gymunedol Llanfihangel-Y-Creuddyn,52.36564999,-3.96218001,Welsh medium,LLANFIHANGEL-Y-CREUDDYN
Ysgol Gymunedol Llangwyryfon,52.31535999,-4.05605001,Welsh medium,LLANGWYRYFON
Ysgol Llanilar,52.35789998,-4.02203001,Welsh medium,LLANILAR
Ysgol Gymunedol Mynach,52.37097999,-3.85721001,Welsh medium,DEVILS BRIDGE
Ysgol Gymunedol Llwynyreos,52.40022998,-4.06849002,English with significant Welsh,ABERYSTWYTH
Ysgol Gymunedol Syr John Rhys,52.41216999,-3.84000001,Welsh medium,PONTERWYD
Ysgol Gymunedol Rhydypennau,52.45135999,-4.01957001,Welsh medium,BOW STREET
Ysgol Gymunedol Talybont,52.48771999,-3.98097001,Welsh medium,TALYBONT
Ysgol Gymunedol Aberporth,52.13241999,-4.54868001,Welsh medium,ABERPORTH
Ysgol Gymunedol Llechryd,52.06636999,-4.60668001,Welsh medium,LLECHRYD
Ysgol Gymunedol Penparc,52.10591999,-4.59419001,Welsh medium,TREMAIN
Ysgol Gymunedol Pontrhydfendigaid,52.28850998,-3.86040001,Welsh medium,PONTRHYDFENDIGAID
Ysgol Gymunedol Plascrug,52.41018998,-4.07497001,English with significant Welsh,ABERYSTWYTH
Ysgol Craig Yr Wylfa,52.47715998,-4.05328004,Welsh medium,BORTH
Ysgol Penrhyncoch,52.43868,-3.99629,Welsh medium,PENRHYNCOCH
Ysgol Gymunedol Y Dderi,52.15745998,-4.03884001,Welsh medium,LLANGYBI
Ysgol Gymunedol Cenarth,52.04832999,-4.52933001,Welsh medium,CENARTH
Ysgol Gynradd Aberteifi,52.08448411,-4.65637241,Welsh medium,CARDIGAN
Ysgol Bro Sion Cwilt,52.16733999,-4.34099001,Welsh medium,PENTRE'R BRYN
Ysgol Gynradd T Llew Jones,52.13239998,-4.44231,Welsh medium,BRYNHOFFNANT
Ysgol Rhos Helyg,52.25238548,-4.00687877,Welsh medium,LLANGEITHO
Ysgol Wirfoddol Myfenydd,52.30777999,-4.14004001,Welsh medium,LLANRHYSTUD
St Padarn'S Catholic Primary School,52.41341999,-4.07449001,English with significant Welsh,ABERYSTWYTH
Sageston Community Primary School,51.69499999,-4.81687,English medium,TENBY
Ysgol Gynradd Gymunedol Eglwyswrw,52.01314999,-4.70931001,Welsh medium,CRYMYCH
Ysgol Gymunedol Wdig / Goodwick Community School,52.00398999,-5.00191002,Welsh medium,GOODWICK
Fenton Community Primary School,51.79903999,-4.97723001,English medium,HAVERFORDWEST
Johnston Community Primary School,51.75612891,-4.98629867,English medium,JOHNSTON
Lamphey Cp School,51.66599998,-4.86995999,English medium,PEMBROKE
Ysgol Gymunedol Brynconin,51.85812999,-4.72819001,Welsh medium,LLANDISSILIO
Hook Cp School,51.76187999,-4.93059002,English medium,HAVERFORDWEST
Ysgol Llanychllwydog,51.96906999,-4.86685001,Welsh medium,FISHGUARD
Ysgol Gymunedol Maenclochog,51.91342998,-4.78902001,Welsh medium,MAENCLOCHOG
Narberth Community Primary School,51.80168561,-4.73339546,Dual stream,NARBERTH
Ysgol Bro Ingli,52.01858998,-4.83148002,Welsh medium,NEWPORT
Puncheston Community Primary School,51.93031999,-4.90176001,Welsh medium,HAVERFORDWEST
Ysgol Llandudoch,52.08291998,-4.68133003,Welsh medium,ST DOGMAELS
Wolfscastle Communty Primary School,51.90076999,-4.97126001,Welsh medium,HAVERFORDWEST
Saundersfoot Community Primary School,51.71357999,-4.70045001,English medium,SAUNDERSFOOT
Stepaside Community Primary School,51.73254999,-4.71145002,English medium,KILGETTY
Templeton Community Primary School,51.77605012,-4.73449604,English medium,NARBERTH
Tavernspite Community Primary School,51.78192998,-4.63926001,English medium,WHITLAND
Ysgol Gymunedol Croesgoch,51.92931999,-5.16197,Transitional,HAVERFORDWEST
Broad Haven Cp School,51.77872998,-5.10007001,English medium,BROAD HAVEN
Roch Community School,51.85114999,-5.09108001,English medium,ROCH
Coastlands Cp School,51.7216106,-5.13414569,English medium,HAVERFORDWEST
Ysgol Clydau,51.96648998,-4.57182001,Welsh medium,LLANFYRNACH
Pembroke Dock Community School,51.69065998,-4.93527001,English medium,PEMBROKE DOCK
Monkton Priory Community Primary  School,51.67583998,-4.92738002,English medium,PEMBROKE
Golden Grove Cp School,51.67231998,-4.91040002,Dual stream,PEMBROKE
Ysgol Glannau Gwaun,51.99440998,-4.98203,Dual stream,FISHGUARD
Prendergast Community Primary School,51.80848999,-4.95991001,English medium,HAVERFORDWEST
Pennar Community School,51.68710762,-4.95358564,English medium,PEMBROKE DOCK
Neyland Community School,51.71116999,-4.95010001,English medium,NEYLAND
Ysgol Hafan Y Mor,51.67543566,-4.71678446,Welsh medium,TENBY
Cilgerran Church In Wales Vc School,52.05581999,-4.63726001,Welsh medium,CILGERRAN
Cosheston Vc School,51.69609998,-4.89536001,English medium,PEMBROKE DOCK
Cleddau Reach Vc School,51.7513676,-4.91636808,English medium,LLANGWM
Manorbier Church In Wales Vc School,51.65631999,-4.79439002,English medium,TENBY
Spittal Church In Wales Vc School,51.86917999,-4.94502001,English medium,SPITTAL
St Florence Church In Wales Vc School,51.67692,-4.77763001,English medium,TENBY
Ysgol Ger Y Llan,51.92499999,-4.99930001,Welsh medium,HAVERFORDWEST
Tenby Church In Wales Vc Primary School,51.67552412,-4.7158845,English medium,TENBY
Penrhyn Church In Wales Vc School,51.66387437,-4.95485191,English with significant Welsh,PEMBROKE
Holy Name Rc School,51.99660998,-4.98355,English medium,FISHGUARD
Mary Immaculate Catholic School,51.79498999,-4.97746002,English medium,HAVERFORDWEST
St Francis Catholic School,51.71829568,-5.03120713,English medium,MILFORD HAVEN
St Aidans Church In Wales Va School,51.82684704,-4.87319546,English medium,HAVERFORDWEST
St Teilos Rc School,51.67423998,-4.70466001,English medium,TENBY
St Marks Church In Wales Va School,51.78932999,-4.96960002,English medium,HAVERFORDWEST
St Oswalds Church In Wales Va School,51.72116998,-4.77416,English medium,KILGETTY
Cefneithin,51.80438998,-4.09762001,Welsh medium,LLANELLI
Drefach,51.79917999,-4.13313001,Welsh medium,LLANELLI
Llechyfedach,51.78743999,-4.10748001,Welsh medium,LLANELLI
Y Tymbl,51.78797999,-4.12036001,Welsh medium,LLANELLI
Gorslas,51.80303999,-4.07565001,Welsh medium,LLANELLI
Cross Hands,51.79720998,-4.09098001,Welsh medium,LLANELLI
Llangain,51.81657998,-4.34832001,Welsh medium,CARMARTHEN
Peniel,51.89401999,-4.27248,Welsh medium,CARMARTHEN
Bancffosfelen,51.78774998,-4.19361002,Welsh medium,LLANELLI
Gwynfryn,51.76365999,-4.22484,Welsh medium,LLANELLI
Carway,51.73677,-4.23156002,Welsh medium,KIDWELLY
Pontiets,51.75199998,-4.21277002,Welsh medium,LLANELLI
Ponthenri,51.76041,-4.20359998,Welsh medium,LLANELLI
Bancyfelin,51.83707999,-4.43245001,Welsh medium,CARMARTHEN
Meidrim,51.85996999,-4.47889002,Welsh medium,CARMARTHEN
Saron,51.78772999,-4.03626,Welsh medium,AMMANFORD
Betws,51.78713998,-3.98475001,Transitional,AMMANFORD
Ty-Croes,51.77633999,-4.02244,English medium,AMMANFORD
Parcyrhun,51.78811999,-3.99519001,Dual stream,AMMANFORD
Blaenau,51.80499999,-4.02319002,Welsh medium,AMMANFORD
Llanedi,51.74856999,-4.05105001,English with significant Welsh,SWANSEA
Ffairfach,51.87531999,-3.99196001,Welsh medium,LLANDEILO
Talley,51.97382998,-3.98156002,Welsh medium,LLANDEILO
Cwrt Henri,51.88698999,-4.09991002,Welsh medium,CARMARTHEN
Llangadog,51.93857999,-3.87850001,Welsh medium,LLANGADOG
Rhys Prichard,51.99762213,-3.79785473,Welsh medium,LLANDOVERY
Llys Hywel,51.81944999,-4.61063002,Dual stream,WHITLAND
Brynsaron,52.00371999,-4.36257002,Welsh medium,LLANDYSUL
Llanpumsaint,51.93734999,-4.30105002,Welsh medium,CARMARTHEN
Mynyddygarreg,51.74868999,-4.27741001,Welsh medium,KIDWELLY
Johnstown,51.85106785,-4.32782253,English medium,CARMARTHEN
Y Dderwen,51.86098999,-4.31377002,Welsh medium,CARMARTHEN
Llanmiloe,51.75284998,-4.52556001,English medium,CARMARTHEN
Bryn,51.68522999,-4.11037,English medium,LLANELLI
Bynea,51.67531999,-4.10284,English medium,LLANELLI
Dafen,51.69028999,-4.13732001,English medium,LLANELLI
Pum Heol,51.72823923,-4.18977513,Welsh medium,LLANELLI
Hendy,51.71436999,-4.05028,Dual stream,SWANSEA
Ffwrnes,51.68942999,-4.17584001,Welsh medium,LLANELLI
Old Road,51.68704999,-4.16223001,English medium,LLANELLI
Llansteffan,51.77108998,-4.38925001,Welsh medium,CARMARTHEN
Llannon,51.75864999,-4.11376,Welsh medium,LLANELLI
Brynsierfel,51.68190999,-4.11787001,Welsh medium,LLANELLI
Brynaman,51.81417998,-3.86146001,Welsh medium,AMMANFORD
Myrddin,51.86170999,-4.31311002,English medium,CARMARTHEN
Llangunnor,51.85024002,-4.30141002,Dual stream,CARMARTHEN
Trimsaran,51.71787999,-4.24117001,Welsh medium,KIDWELLY
Swiss Valley,51.70586999,-4.13706002,English with significant Welsh,LLANELLI
Parc Y Tywyn,51.68393398,-4.24788626,Welsh medium,BURRY PORT
Pembrey,51.68582998,-4.27450002,English medium,LLANELLI
Rhydaman,51.79392999,-3.98628002,Welsh medium,AMMANFORD
Beca,51.89596999,-4.70959001,Welsh medium,CLUNDERWEN
Llandybie,51.82060999,-4.01042001,Transitional,AMMANFORD
Hafodwenog,51.94595999,-4.50172,Welsh medium,CARMARTHEN
Teilo Sant,51.88729109,-3.99022053,Welsh medium,LLANDEILO
Llanybydder,52.07240998,-4.14870001,Welsh medium,LLANYBYDDER
Llandeilo,51.88677548,-3.9904012,English medium,LLANDEILO
Cynwyl Elfed,51.92375999,-4.36901001,Welsh medium,CARMARTHEN
Halfway,51.68485998,-4.13763001,English medium,LLANELLI
Pwll,51.68849998,-4.20512001,English medium,LLANELLI
Penygaer,51.68845999,-4.14709001,English medium,LLANELLI
Y Castell,51.73793998,-4.29974001,English medium,KIDWELLY
Penygroes,51.80087999,-4.04958001,Welsh medium,LLANELLI
Nantgaredig,51.87167999,-4.19010001,Welsh medium,CARMARTHEN
Gwenllian,51.73554998,-4.31054001,Welsh medium,KIDWELLY
Dewi Sant,51.68875999,-4.14644001,Welsh medium,LLANELLI
Ysgol Gynradd Pontyberem,51.77906999,-4.17543001,Welsh medium,LLANELLI
Bigyn,51.67746998,-4.15541,English medium,LLANELLI
Stebonheath,51.68157998,-4.14863,English medium,LLANELLI
Y Ddwylan,52.03849999,-4.47205,Dual stream,NEWCASTLE EMLYN
Richmond Park,51.86050999,-4.30080001,English medium,CARMARTHEN
Griffith Jones,51.82364998,-4.48953001,Dual stream,CARMARTHEN
Y Fro,51.80368998,-4.24360002,Welsh medium,KIDWELLY
Carreg Hirfaen,52.09978999,-4.06217002,Welsh medium,LAMPETER
Cae'R Felin,52.00269999,-4.26375001,Welsh medium,PENCADER
Y Bedol,51.80511999,-3.90515,Welsh medium,AMMANFORD
Bro Brynach,51.87962999,-4.59427001,Welsh medium,WHITLAND
Bryn Teg,51.68023999,-4.11757001,English medium,LLANELLI
Y Felin,51.69527501,-4.14013333,Dual stream,LLANELLI
Bro Banw,51.79457118,-3.98250937,Dual stream,AMMANFORD
Maes Y Morfa,51.67073999,-4.14534,English medium,LLANELLI
Burry Port,51.68726615,-4.25188476,English medium,BURRY PORT
Pen Rhos,51.67467704,-4.16357029,Dual stream,LLANELLI
Ysgol Gymraeg Llangennech,51.70145719,-4.07830963,Welsh medium,LLANELLI
Abergwili,51.86676999,-4.26922001,Welsh medium,CARMARTHEN
Laugharne,51.76761998,-4.46786,English medium,CARMARTHEN
Llanddarog,51.82609999,-4.17072002,Welsh medium,CARMARTHEN
Ferryside,51.76871998,-4.36828,Welsh medium,FERRYSIDE
Llanllwni,52.03135999,-4.20621002,Welsh medium,PENCADER
St Mary'S (Llanelli),51.68739998,-4.13290001,English medium,LLANELLI
St Mary'S (Carmarthen),51.85726998,-4.31997002,English medium,CARMARTHEN
Penboyr,52.01899999,-4.40055001,Welsh medium,LLANDYSUL
Pentip,51.68421998,-4.16617002,English medium,LLANELLI
Model,51.85854998,-4.32279002,English with significant Welsh,CARMARTHEN
Brynmill School,51.61324998,-3.97176002,English medium,SWANSEA
Cadle Primary School,51.64892998,-3.98419003,English medium,SWANSEA
Cwmrhydyceirw Primary School,51.67887,-3.92894999,English medium,SWANSEA
Danygraig Primary School,51.62149,-3.91619,English medium,SWANSEA
Gendros Primary School,51.64056995,-3.97308003,English medium,SWANSEA
Glais Primary School,51.68846999,-3.87889001,English medium,SWANSEA
Grange Primary School,51.58318998,-4.00499001,English medium,SWANSEA
Hafod Primary School,51.63405998,-3.94147002,English medium,SWANSEA
Ysgol Gymraeg  Lon Las,51.66473823,-3.8988861,Welsh medium,SWANSEA
Morriston Primary School,51.66278999,-3.92173001,English medium,SWANSEA
Oystermouth Primary School,51.57585999,-4.00409003,English medium,SWANSEA
Pentrechwyth Primary School,51.63933998,-3.92078002,English medium,SWANSEA
Plasmarl Primary School,51.64886998,-3.93515001,English medium,SWANSEA
Sketty Primary School,51.62564998,-3.99454003,English medium,SWANSEA
St Helen'S Primary School,51.61570999,-3.95426,English medium,SWANSEA
Terrace Road Primary School,51.62344998,-3.95483002,English medium,SWANSEA
Townhill Primary School,51.62705998,-3.96255001,English medium,SWANSEA
Waunarlwydd Primary School,51.63986999,-4.02534001,English medium,SWANSEA
Waun Wen School,51.63334505,-3.94544554,English medium,SWANSEA
Clwyd Primary School,51.64484994,-3.96635999,English medium,SWANSEA
Ynystawe Primary School,51.68543999,-3.90746001,English medium,SWANSEA
Clase Primary School,51.66404999,-3.94528,English medium,SWANSEA
Portmead Primary School,51.64932992,-3.97259005,English medium,SWANSEA
Mayals Primary,51.59154998,-4.00752001,English medium,SWANSEA
Cwmglas Primary School,51.64669999,-3.90506002,English medium,SWANSEA
Blaenymaes Primary School,51.65596994,-3.97460004,English medium,SWANSEA
Trallwn Primary School,51.65827999,-3.89352002,English medium,SWANSEA
Parkland Primary School,51.61472998,-3.99872001,English medium,SWANSEA
Newton Primary School,51.57632998,-4.01502002,English medium,SWANSEA
Whitestone Primary,51.58340998,-4.01863,English medium,SWANSEA
Hendrefoilan Primary,51.62225998,-4.01499003,English medium,SWANSEA
Ygg Brynymor,51.61357998,-3.96940002,Welsh medium,SWANSEA
Bishopston Primary School,51.58326999,-4.05117002,English medium,SWANSEA
Casllwchwr Primary School,51.66381998,-4.07432001,English medium,SWANSEA
Cila Primary School,51.61310999,-4.03070001,English medium,SWANSEA
Crwys Primary School,51.62772999,-4.06458001,English medium,SWANSEA
Llangyfelach Primary School,51.67300999,-3.95569,English medium,SWANSEA
Llanrhidian Primary,51.60621999,-4.17380001,English medium,SWANSEA
Penclawdd Primary School,51.64133112,-4.11046417,English medium,SWANSEA
Pengelli Primary,51.68864998,-4.03624001,English medium,SWANSEA
Penllergaer Primary School,51.67427998,-4.00135,English medium,SWANSEA
Penyrheol Primary School,51.67608998,-4.04695002,English medium,SWANSEA
Pontarddulais Primary School,51.71248999,-4.02861002,English medium,SWANSEA
Ygg Bryniago,51.71306999,-4.03263002,Welsh medium,SWANSEA
Pontlliw Primary,51.69321999,-4.01052002,English medium,SWANSEA
Tre Uchaf Primary School,51.66560998,-4.05999001,English medium,SWANSEA
Ygg Pontybrenin,51.66230999,-4.04175001,Welsh medium,SWANSEA
Craigfelen Primary School,51.69684997,-3.90447998,English medium,SWANSEA
Pennard Primary,51.57510999,-4.08749001,English medium,SWANSEA
Knelston Primary,51.57893999,-4.21031003,English medium,SWANSEA
Pen-Y-Fro,51.62499999,-4.04355,English medium,SWANSEA
Pontybrenin Primary School,51.66408999,-4.04322001,English medium,SWANSEA
Talycopa Primary School,51.65739,-3.88518004,English medium,SWANSEA
Glyncollen Primary School,51.68222999,-3.91914003,English medium,SWANSEA
Ysgol Gymraeg Y Login Fach,51.64049998,-4.01184001,Welsh medium,SWANSEA
Ygg Tirdeunaw,51.65401485,-3.95676889,Welsh medium,SWANSEA
Ygg Gellionnen,51.70144999,-3.89380001,Welsh medium,SWANSEA
Gors Community School,51.63173998,-3.98132001,English medium,SWANSEA
Sea View Primary School,51.62787998,-3.94906002,English medium,SWANSEA
Ygg Llwynderw,51.58418998,-4.00584001,Welsh medium,SWANSEA
Birchgrove Primary,51.66983,-3.87458,English medium,SWANSEA
Dunvant Primary School,51.62250999,-4.02276001,English medium,SWANSEA
Gwyrosydd Primary School,51.65035999,-3.95043001,English medium,SWANSEA
St Thomas Community Primary School,51.62383999,-3.92671,English medium,SWANSEA
Gowerton Primary School,51.65113999,-4.05033,English medium,SWANSEA
Pentre'R Graig Primary School,51.66872,-3.92376999,English medium,SWANSEA
Burlais Primary School,51.63798998,-3.95684999,English medium,SWANSEA
Clydach Primary School,51.69644914,-3.89732573,English medium,SWANSEA
Ysgol Gymraeg Y Cwm,51.64661999,-3.91204002,Welsh medium,SWANSEA
Gorseinon Primary School,51.66952998,-4.04020001,English medium,SWANSEA
Brynhyfryd Primary School,51.64354998,-3.94498001,English medium,SWANSEA
St David'S Rc Primary School,51.58245793,-4.00485736,English medium,SWANSEA
St Illtyds Primary,51.64140999,-3.91637002,English medium,SWANSEA
Christchurch Church In Wales,51.61398999,-3.9556,English medium,SWANSEA
St Joseph'S Rc Primary,51.69688998,-3.88114001,English medium,SWANSEA
St Josephs Cathedral Primary School,51.63167999,-3.94359,English medium,SWANSEA
Alltwen Primary School,51.71752999,-3.84451,English medium,PONTARDAWE
Blaendulais Primary School,51.76512999,-3.71091001,English medium,SEVEN SISTERS
Blaengwrach Primary School,51.73380998,-3.64125,English medium,CWMGWRACH
Blaenhonddan Primary School,51.67764998,-3.81467003,English medium,BRYNCOCH
Baglan Primary School,51.61894,-3.8076,English medium,BAGLAN
Ygg Cwmllynfell,51.79801999,-3.81970002,Welsh medium,CWMLLYNFELL
Creunant Primary School,51.73264999,-3.74745999,English medium,CRYNANT
Crymlyn Primary School,51.63024998,-3.86348002,English medium,JERSEY MARINE
Cwmnedd Primary School,51.74708999,-3.62286001,English medium,GLYNNEATH
Cymer Afan Primary School,51.65138999,-3.65315,English medium,CYMMER
Godre'Rgraig Primary School,51.74649288,-3.80977968,English medium,GODRE'R GRAIG
Eastern Primary School,51.58524997,-3.76793999,English medium,TAIBACH
Gnoll Primary School,51.65821999,-3.80055002,English medium,NEATH
Glyncorrwg Primary School,51.67933999,-3.62722002,English medium,GLYNCORRWG
Ygg Gwaun Cae Gurwen,51.79370999,-3.88045002,Welsh medium,GWAUN CAE GURWEN
Catwg Primary School,51.67340999,-3.79618002,English medium,CADOXTON
Maesmarchog Community Primary School,51.77705999,-3.66409002,English medium,DYFFRYN CELLWEN
Ygg Rhosafan,51.59908998,-3.82050003,Welsh medium,SANDFIELDS
Sandfields Primary School,51.59563995,-3.79867001,English medium,ABERAVON
Ygg Castell-Nedd,51.66167999,-3.79840002,Welsh medium,NEATH
Croeserw Primary School,51.64514999,-3.63550001,English medium,CYMMER
Tywyn Primary School,51.58998997,-3.80734003,English medium,SANDFIELDS
Llangiwg Primary School,51.72738999,-3.84176001,English medium,PONTARDAWE
Tonnau Primary Community School,51.67430998,-3.77724002,English medium,TONNA
Ynysfach Primary School,51.70886332,-3.69435341,English medium,RESOLVEN
Blaenbaglan Primary School,51.621,-3.79684001,English medium,BAGLAN
Rhos Primary School,51.71348999,-3.83051001,English medium,PONTARDAWE
Ygg Blaendulais,51.76567999,-3.71167001,Welsh medium,SEVEN SISTERS
Rhydyfro Primary School,51.73355999,-3.86147001,English medium,PONTARDAWE
Ygg Cwm Nedd,51.74676999,-3.62234001,Welsh medium,GLYNNEATH
Tairgwaith Primary School,51.79170999,-3.86432001,English medium,TAIRGWAITH
Ygg Trebannws,51.71081997,-3.86501999,Welsh medium,PONTARDAWE
Ygg Pontardawe,51.7263,-3.85331,Welsh medium,PONTARDAWE
Waunceirch Primary School,51.67225998,-3.82137005,English medium,CAEWERN
Cilffriw Primary School,51.68127999,-3.78115002,English medium,CILFREW
Ygg Tyle'R Ynn,51.64404999,-3.82158002,Welsh medium,BRITON FERRY
Coed Hirwaun Primary School,51.54780999,-3.70456001,English medium,COED HIRWAUN
Coedffranc Primary School,51.66028343,-3.8435951,English medium,SKEWEN
Pen Afan Primary School,51.65482001,-3.59983,English medium,BLAENGWYNFI
Awel Y Mor Primary School,51.59754999,-3.81142002,English medium,SANDFIELDS
Crynallt Primary School,51.6530598,-3.78530205,English medium,CIMLA
Cwmafan Primary School,51.61433878,-3.76326444,English medium,CWMAVON
Cefn Glas Infants,51.51365998,-3.59195003,English medium,BRIDGEND
Central Primary School,51.59015107,-3.77486055,English medium,PORT TALBOT
Abbey Primary School,51.66178998,-3.83445002,English medium,
Melin Primary School,51.6514608,-3.81306018,English medium,NEATH
St Joseph'S Catholic Primary School (Neath),51.65438998,-3.79889002,English medium,NEATH
St Josephs Catholic Infant School,51.59514998,-3.78951999,English medium,ABERAVON
Bryncoch Ciw Primary School,51.68496,-3.81817001,English medium,BRYNCOCH
Alderman Davies Ciw Primary School,51.66225999,-3.80204002,English medium,NEATH
St Therese'S Catholic Primary School,51.59837,-3.81558001,English medium,SANDFIELDS
St Josephs Catholic Junior School,51.60038995,-3.79641001,English medium,ABERAVON
Abercerdin Primary School,51.59533999,-3.47953,English medium,GILFACH GOCH
Blaengarw Primary,51.62431998,-3.58756001,English medium,BLAENGARW
Brynmenyn Primary,51.55169,-3.58180005,English medium,BRIDGEND
Bryntirion Infants,51.50858998,-3.60284002,English medium,BRIDGEND
Cefn Cribwr Primary School,51.53133998,-3.64926005,English medium,BRIDGEND
Coety Primary,51.52738998,-3.56370003,English medium,BRIDGEND
Cwmfelin Primary School,51.59351999,-3.64272002,English medium,MAESTEG
Ffaldau,51.60981002,-3.58148,English medium,PONTYCYMER
Garth Primary School,51.60034997,-3.6395,English medium,MAESTEG
Coychurch Llangrallo Primary,51.50790999,-3.52698001,English medium,BRIDGEND
Llangynwyd Primary School,51.58661997,-3.63615003,English medium,MAESTEG
Nantyffyllon Primary School,51.61963998,-3.66261,English medium,MAESTEG
Nantymoel Primary School,51.61846004,-3.53768,English medium,NANT-Y-MOEL
Newton Primary,51.48202999,-3.69394,English medium,PORTHCAWL
Nottage County Primary,51.48342998,-3.70715,English medium,PORTHCAWL
Pen-Y-Bont Primary,51.50906997,-3.57417003,English medium,BRIDGEND
Pil Primary,51.53042999,-3.69168001,English medium,BRIDGEND
